student_group,grant_share,work_study_share,loan_share,family_contribution_share,other_share,total_share,tuition_and_fees,grants,net_price,living_expenses,other_expenses,total_cost
Dependent Students (69%),0.3814993,0.25059928,0.21993306,0.100703,0.04726536,1,3590,740,13600,7670,4070,20530
Independent Students (31%),0.40158805,0.22555297,0.23143171,0.09826082,0.04316644,0.99999999,3860,610,16280,7630,3070,20390
Dependent Students: Parents' Income,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Less than $40,000 (33%)",0.70814523,0.1340276,0.09218531,0.03482926,0.03081261,1.00000001,6700,-2320,11220,13360,-2220,14610
"$40,000 to $79,999 (26%)",0.38178773,0.30127214,0.20334926,0.0794383,0.03415257,1,3320,940,13750,9200,2180,18860
"$80,000 to $119,999 (21%)",0.14734387,0.29184144,0.33170652,0.1554853,0.07362288,1.00000001,1450,2990,14940,4380,7250,22980
"$120,000 or Higher (20%)",0.09735696,0.33030662,0.33143808,0.17747667,0.06342166,0.99999999,1170,3060,15800,3370,9220,25620
Public Four-Year,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
All,0.31313009,0.2148827,0.2353605,0.16194013,0.07468658,1,NULL,NULL,NULL,NULL,NULL,NULL
Dependent Students (85%),0.31165728,0.20333764,0.23693471,0.16878329,0.07928708,1,NULL,NULL,NULL,NULL,NULL,NULL
Independent Students (15%),0.32151643,0.28062112,0.22639684,0.12297466,0.04849095,1,NULL,NULL,NULL,NULL,NULL,NULL
Dependent Students: Parents' Income,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Less than $40,000 (29%)",0.64062955,0.19668174,0.09650423,0.0496854,0.01649909,1.00000001,NULL,NULL,NULL,NULL,NULL,NULL
"$40,000 to $79,999 (22%)",0.35701274,0.28561605,0.22474183,0.09785773,0.03477165,1,NULL,NULL,NULL,NULL,NULL,NULL
"$80,000 to $119,999 (18%)",0.11818095,0.21260445,0.34698005,0.22685418,0.09538037,1,NULL,NULL,NULL,NULL,NULL,NULL
"$120,000 or Higher (32%)",0.09402124,0.14746813,0.3093214,0.29186801,0.15732121,0.99999999,NULL,NULL,NULL,NULL,NULL,NULL
NOTE: This analysis includes full-time in-state undergraduate students who were U.S. citizens or permanent residents. Percentages may not sum to 100 because of rounding.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"SOURCE: NCES, National Postsecondary Student Aid Study (NPSAS), 2020; calculations by the authors. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
This table was prepared in October 2023.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
