university,state,in_state_tuition_2024_25,out_state_tuition_2024_25
University of Alaska Fairbanks,AK,10920,27900
University of Alabama,AL,12180,34172
University of Arkansas,AR,10104,29966
University of Arizona,AZ,13900,42300
University of California: Berkeley,CA,16607,50808
University of Colorado at Boulder,CO,14002,43622
University of Connecticut,CT,21044,43712
University of Delaware,DE,16810,41400
University of Florida,FL,6381.299805,28658
University of Georgia,GA,11440,31678
University of Hawaii at Manoa,HI,12186,34218
University of Iowa,IA,11283,33371
University of Idaho,ID,9084,28320
University of Illinois at Urbana-Champaign,IL,17640,36760
Indiana University Bloomington,IN,12144,41890
University of Kansas,KS,12284,30614
University of Kentucky,KY,13502,34140
Louisiana State University and Agricultural and Mechanical College,LA,11954,28640
University of Massachusetts Amherst,MA,17772,40449
University of Maryland: College Park,MD,11809,41186
University of Maine,ME,13326,36756
University of Michigan,MI,17736,60946
University of Minnesota: Twin Cities,MN,17370,38518
University of Missouri: Columbia,MO,14830,36040
University of Mississippi,MS,9772,28600
University of Montana,MT,8552,33670.80078
University of North Carolina at Chapel Hill,NC,8993.620117,41202.62109
University of North Dakota,ND,10951,15570
University of Nebraska - Lincoln,NE,10434,28764
University of New Hampshire,NH,19202,39852
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,17929,37441
University of New Mexico,NM,10297.7998,33217.19922
University of Nevada: Reno,NV,9578,27720
State University of New York at Buffalo,NY,10936,31536
Ohio State University: Columbus Campus,OH,13244,40022
University of Oklahoma,OK,12785,31089.5
University of Oregon,OR,16137,44598
Penn State University Park,PA,20066,41212
University of Rhode Island,RI,16942,37146
University of South Carolina,SC,12688,35972
University of South Dakota,SD,9432,12942
University of Tennessee: Knoxville,TN,13812,33256
University of Texas at Austin,TX,10858,42554
University of Utah,UT,10624.7002,34179.76172
University of Virginia,VA,19422,58142
University of Vermont,VT,19058,45502
University of Washington,WA,12973,43209
University of Wisconsin-Madison,WI,11603,42103
West Virginia University,WV,10104,28608
University of Wyoming,WY,6957.220215,23367.2207
University of Alaska Fairbanks,AK,10920,27900
University of Alabama,AL,12180,34172
University of Arkansas,AR,10104,29966
University of Arizona,AZ,13900,42300
University of California: Berkeley,CA,16607,50808
University of Colorado at Boulder,CO,14002,43622
University of Connecticut,CT,21044,43712
University of Delaware,DE,16810,41400
University of Florida,FL,6381.299805,28658
University of Georgia,GA,11440,31678
University of Hawaii at Manoa,HI,12186,34218
University of Iowa,IA,11283,33371
University of Idaho,ID,9084,28320
University of Illinois at Urbana-Champaign,IL,17640,36760
Indiana University Bloomington,IN,12144,41890
University of Kansas,KS,12284,30614
University of Kentucky,KY,13502,34140
Louisiana State University and Agricultural and Mechanical College,LA,11954,28640
University of Massachusetts Amherst,MA,17772,40449
University of Maryland: College Park,MD,11809,41186
University of Maine,ME,13326,36756
University of Michigan,MI,17736,60946
University of Minnesota: Twin Cities,MN,17370,38518
University of Missouri: Columbia,MO,14830,36040
University of Mississippi,MS,9772,28600
University of Montana,MT,8552,33670.80078
University of North Carolina at Chapel Hill,NC,8993.620117,41202.62109
University of North Dakota,ND,10951,15570
University of Nebraska - Lincoln,NE,10434,28764
University of New Hampshire,NH,19202,39852
"Rutgers, The State University of New Jersey: New Brunswick/Piscataway Campus",NJ,17929,37441
University of New Mexico,NM,10297.7998,33217.19922
University of Nevada: Reno,NV,9578,27720
State University of New York at Buffalo,NY,10936,31536
Ohio State University: Columbus Campus,OH,13244,40022
University of Oklahoma,OK,12785,31089.5
University of Oregon,OR,16137,44598
Penn State University Park,PA,20066,41212
University of Rhode Island,RI,16942,37146
University of South Carolina,SC,12688,35972
University of South Dakota,SD,9432,12942
University of Tennessee: Knoxville,TN,13812,33256
University of Texas at Austin,TX,10858,42554
University of Utah,UT,10624.7002,34179.76172
University of Virginia,VA,19422,58142
University of Vermont,VT,19058,45502
University of Washington,WA,12973,43209
University of Wisconsin-Madison,WI,11603,42103
West Virginia University,WV,10104,28608
University of Wyoming,WY,6957.220215,23367.2207
