Sector,Academic_Year,Tuition,Housing_and_Food,Books_and_Supplies,Total_Cost,Pct_Tuition,Pct_Housing_and_Food,Pct_Other
,2021-22,12710,8900,12130,33740,0.376704209,0.263781861,0.35951393
Public Master's,2011-12,8490,6010,2040,16540,0.513301088,0.363361548,0.123337364
Public Master's,2016-17,8780,6670,2340,17790,0.493535694,0.374929736,0.13153457
Public Master's,2021-22,8160,8160,5580,21900,0.37260274,0.37260274,0.254794521
Public Bachelor's,2011-12,5760,5100,2090,12950,0.444787645,0.393822394,0.161389961
Public Bachelor's,2016-17,6020,6300,2400,14720,0.408967391,0.42798913,0.163043478
Public Bachelor's,2021-22,5360,7690,5600,18650,0.287399464,0.41233244,0.300268097
Public Associate,2011-12,3800,5490,1530,10820,0.351201479,0.507393715,0.141404806
Public Associate,2016-17,4070,7110,1970,13150,0.309505703,0.540684411,0.149809886
Public Associate,2021-22,3840,9160,5540,18540,0.207119741,0.494066882,0.298813376
