location,grant_disbursements ,grant_recipents,loan_disbursements,loan_recipents,total_disbursements,total_recipients,avg_grant_per_student,avg_loan_per_student
Alabama,525.4,100.4,1245.9,102.4,1771.3,151.8,5233.06773,12166.99219
Alaska,34.5,7.7,102,8.5,136.5,13.1,4480.51948,12000
Arizona,642.2,130.6,1522.6,116.8,2164.8,193.7,4917.30475,13035.9589
Arkansas,320.9,62.7,673,60.4,994,91,5118.02233,11142.38411
California,4582.4,924.8,9309.8,577,13892.1,1501.8,4955.0173,16134.83536
Colorado,400.1,82.9,1387.5,105.5,1787.6,150.8,4826.29674,13151.65877
Connecticut,294,62.3,1216.2,89.6,1510.2,119.3,4719.10112,13573.66071
Delaware,80.7,17.3,269.5,21.5,350.2,30,4664.73988,12534.88372
District of Columbia,45.7,8.8,246.9,12.4,292.6,16,5193.18182,19911.29032
Florida,2301.1,453.7,5271.6,375.8,7572.7,648.5,5071.85365,14027.67429
Georgia,1385.2,271.7,3242.6,263.3,4627.7,403.5,5098.27015,12315.22978
Hawaii,88.8,18.6,270.7,17.9,359.5,29.9,4774.19355,15122.90503
Idaho,155.7,31.7,332.4,30.8,488.1,48.4,4911.67192,10792.20779
Illinois,1113.5,225.5,3491.6,246.7,4605.1,377.1,4937.91574,14153.22254
Indiana,526.2,109.2,1386.1,122.2,1912.4,179.7,4818.68132,11342.88052
Iowa,212.5,45.1,709.6,65,922.2,84.4,4711.75166,10916.92308
Kansas,229,47.2,645.1,55.6,874,79.6,4851.69492,11602.51799
Kentucky,460.9,93.9,1016.3,90.2,1477.2,140.1,4908.41321,11267.18404
Louisiana,606,116.6,1341.8,119.9,1947.8,165.4,5197.25558,11190.99249
Maine,90.1,19.3,287.8,24.5,377.9,34.6,4668.39378,11746.93878
Maryland,492.3,101.7,1842.1,125.4,2334.4,181.2,4840.70796,14689.79266
Massachusetts,442.1,93.9,2085.6,159.7,2527.8,205.6,4708.20021,13059.48654
Michigan,802.4,167.7,2538.6,195.5,3341,279.8,4784.73464,12985.16624
Minnesota,386.8,83.3,1407.9,124.3,1794.7,167.8,4643.45738,11326.62912
Mississippi,405.4,73.8,808.9,68.6,1214.4,105.3,5493.22493,11791.54519
Missouri,473.3,97.7,1351.7,110.6,1825,161.2,4844.4217,12221.51899
Montana,65.9,13.3,199.6,17.3,265.5,23.4,4954.88722,11537.57225
Nebraska,148.9,31,453.1,37.1,602,54.6,4803.22581,12212.93801
Nevada,265.3,55.4,622.3,50,887.6,80.9,4788.80866,12446
New Hampshire,59.2,13.3,346.3,29,405.6,34.2,4451.12782,11941.37931
New Jersey,894,170.6,3038.3,210.3,3932.3,306.4,5240.32825,14447.45602
New Mexico,204.1,42.1,298.8,25.7,502.9,55.3,4847.981,11626.45914
New York,2092.7,384.9,5759.2,384.6,7851.9,618.1,5436.99662,14974.51898
North Carolina,1050.8,211.5,2438.5,197.6,3489.3,320.8,4968.32151,12340.58704
North Dakota,46.1,9.5,158,15.5,204.1,20.1,4852.63158,10193.54839
Ohio,895.6,186.3,2775.8,240.5,3671.4,319.9,4807.30005,11541.78794
Oklahoma,374,76.1,800.1,70.6,1174.1,111.2,4914.58607,11332.86119
Oregon,284.5,61.5,823.9,64.6,1108.4,99.3,4626.01626,12753.86997
Pennsylvania,908,181.2,3709.1,296.2,4617.1,359.8,5011.03753,12522.28224
Puerto Rico,765.4,125.5,829.3,54.2,1594.7,158.8,6098.80478,15300.73801
Rhode Island,86.9,18.8,278.5,23.4,365.4,33.7,4622.34043,11901.7094
South Carolina,512.2,103.7,1344.4,112.1,1856.6,161,4939.24783,11992.86351
South Dakota,52.7,10.7,190.9,18.1,243.6,22.4,4925.23364,10546.96133
Tennessee,621.7,121.8,1509.1,116.9,2130.8,186.3,5104.26929,12909.32421
Texas,3452.4,673.7,6857.6,591.6,10310,971.6,5124.53614,11591.61596
Utah,330.4,64.2,670.6,53.8,1001,96.9,5146.41744,12464.68401
Vermont,32.4,7.2,137.1,10.9,169.5,14.7,4500,12577.98165
Virginia,735,149.8,2334.7,169.2,3069.6,253.6,4906.54206,13798.46336
Washington,478.4,101.4,1452.7,106.2,1931.1,170.1,4717.94872,13678.90772
West Virginia,154.1,29.4,343.9,32.1,498,46.1,5241.4966,10713.39564
Wisconsin,358.4,77.9,1152,111,1510.4,147.1,4600.77022,10378.37838
Wyoming,39.7,8.4,96.2,8.7,135.9,13.6,4726.19048,11057.47126
Other,115.2,22.4,152,11.1,267.2,28.6,5142.85714,13693.69369
